,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,368.0,379.25,366.0,377.65,11372447,
1,2020-01-02T00:00:00,377.95,384.7,376.5,383.15,5916114,
2,2020-01-03T00:00:00,382.7,384.35,379.2,382.5,3684389,
3,2020-01-06T00:00:00,388.0,388.0,374.75,380.2,12480241,
4,2020-01-07T00:00:00,384.05,389.75,382.4,384.8,8105588,
5,2020-01-08T00:00:00,379.0,387.6,378.25,385.65,4618068,
6,2020-01-09T00:00:00,389.15,394.0,386.05,391.8,4198796,
7,2020-01-10T00:00:00,391.8,394.3,390.0,392.05,2404689,
8,2020-01-13T00:00:00,391.9,393.9,389.3,390.35,1514734,
9,2020-01-14T00:00:00,391.0,392.6,386.0,389.2,1962910,
10,2020-01-15T00:00:00,389.3,391.4,386.0,390.8,1536470,
11,2020-01-16T00:00:00,392.0,394.6,389.8,390.95,1339951,
12,2020-01-17T00:00:00,390.9,392.4,386.0,387.6,1644765,
13,2020-01-20T00:00:00,387.65,389.2,378.8,380.05,1760519,
14,2020-01-21T00:00:00,378.8,382.0,375.3,379.95,2004094,
15,2020-01-22T00:00:00,379.95,385.0,379.0,383.6,1817322,
16,2020-01-23T00:00:00,384.45,386.75,380.75,385.85,1202081,
17,2020-01-24T00:00:00,383.0,387.4,380.3,384.75,1572378,
18,2020-01-27T00:00:00,383.7,386.25,379.8,381.25,1075970,
19,2020-01-28T00:00:00,380.7,381.5,370.2,372.95,2220566,
20,2020-01-29T00:00:00,377.5,387.75,373.75,383.35,3587451,
21,2020-01-30T00:00:00,381.0,383.7,376.85,378.0,1529077,
22,2020-01-31T00:00:00,380.05,381.55,368.25,369.4,2911750,
23,2020-02-01T00:00:00,369.8,371.4,360.65,362.3,1839536,
24,2020-02-03T00:00:00,364.0,370.0,355.5,367.35,2857914,
25,2020-02-04T00:00:00,370.1,376.0,366.35,372.5,3068849,
26,2020-02-05T00:00:00,372.0,372.5,361.1,366.6,3440040,
27,2020-02-06T00:00:00,370.0,373.2,367.65,370.2,4172345,
28,2020-02-07T00:00:00,370.2,373.7,367.2,369.55,2197346,
29,2020-02-10T00:00:00,370.05,373.45,366.15,368.25,1536776,
30,2020-02-11T00:00:00,370.5,378.4,369.05,374.2,2836770,
31,2020-02-12T00:00:00,376.95,378.9,371.6,374.1,1872409,
32,2020-02-13T00:00:00,374.0,374.7,367.0,369.1,1601892,
33,2020-02-14T00:00:00,370.3,372.0,366.0,366.85,1008728,
34,2020-02-17T00:00:00,366.85,366.85,359.4,362.8,1978658,
35,2020-02-18T00:00:00,362.5,368.45,358.35,366.6,1693331,
36,2020-02-19T00:00:00,371.0,374.45,367.35,371.3,2056617,
37,2020-02-20T00:00:00,371.0,374.5,370.0,370.85,1799225,
38,2020-02-24T00:00:00,367.65,371.4,361.5,362.25,2070380,
39,2020-02-25T00:00:00,362.3,364.7,355.6,358.4,2526878,
40,2020-02-26T00:00:00,356.9,362.5,352.9,358.4,4163950,
41,2020-02-27T00:00:00,358.7,360.75,351.5,353.7,1977262,
42,2020-02-28T00:00:00,347.0,348.65,339.2,342.2,4299294,
43,2020-03-02T00:00:00,346.1,351.05,338.3,340.65,2510493,
44,2020-03-03T00:00:00,344.0,349.05,342.0,347.3,3671074,
45,2020-03-04T00:00:00,347.8,349.8,339.9,345.95,3490330,
46,2020-03-05T00:00:00,347.3,351.9,346.5,349.15,2709593,
47,2020-03-06T00:00:00,339.8,343.2,331.25,341.4,3966026,
48,2020-03-09T00:00:00,334.7,334.7,316.85,321.9,3230211,
49,2020-03-11T00:00:00,322.8,326.35,316.2,320.2,5634580,
50,2020-03-12T00:00:00,288.2,301.9,284.0,287.65,9816373,
51,2020-03-13T00:00:00,260.0,300.7,232.0,292.75,21081257,
52,2020-03-16T00:00:00,273.0,276.85,252.0,261.4,7723661,
53,2020-03-17T00:00:00,265.0,283.35,265.0,267.15,9691115,
54,2020-03-18T00:00:00,270.0,273.0,256.0,260.4,5509852,
55,2020-03-19T00:00:00,248.0,264.15,241.0,258.35,8722118,
56,2020-03-20T00:00:00,257.6,264.5,247.2,256.4,7028496,
57,2020-03-23T00:00:00,235.0,235.8,203.0,207.8,5716820,
58,2020-03-24T00:00:00,216.0,238.75,212.6,231.75,9687748,
59,2020-03-25T00:00:00,222.3,266.5,222.3,255.6,11744967,
60,2020-03-26T00:00:00,257.65,260.1,241.5,248.2,8701778,
61,2020-03-27T00:00:00,259.0,259.6,244.0,251.3,4871657,
62,2020-03-30T00:00:00,248.0,254.85,237.0,251.65,8945408,
63,2020-03-31T00:00:00,255.0,259.6,247.05,251.3,6401104,
64,2020-04-01T00:00:00,246.05,247.8,235.05,244.8,4033068,
65,2020-04-03T00:00:00,246.0,252.8,238.9,244.8,7209943,
66,2020-04-07T00:00:00,254.2,255.85,245.6,248.1,7360038,
67,2020-04-08T00:00:00,248.0,255.85,242.75,250.85,6897639,
68,2020-04-09T00:00:00,254.0,254.6,247.45,251.9,5289030,
69,2020-04-13T00:00:00,252.0,265.5,247.5,262.85,6978306,
70,2020-04-15T00:00:00,265.0,279.4,265.0,268.9,7605669,
71,2020-04-16T00:00:00,267.0,271.3,260.3,267.6,3267182,
72,2020-04-17T00:00:00,275.0,275.9,263.6,268.15,3470274,
73,2020-04-20T00:00:00,273.5,273.5,266.55,270.5,2230868,
74,2020-04-21T00:00:00,266.05,269.6,260.9,265.2,2562036,
75,2020-04-22T00:00:00,260.0,273.85,258.5,271.9,3229000,
76,2020-04-23T00:00:00,273.5,279.7,268.5,277.6,3594121,
77,2020-04-24T00:00:00,273.95,276.95,269.55,270.65,2515756,
78,2020-04-27T00:00:00,273.3,277.1,269.5,271.15,1845580,
79,2020-04-28T00:00:00,271.15,274.7,270.0,272.95,1806551,
80,2020-04-29T00:00:00,274.0,293.2,272.7,287.65,4057342,
81,2020-04-30T00:00:00,295.05,296.0,285.1,290.1,4675041,
82,2020-05-04T00:00:00,275.0,280.0,262.0,266.35,6358324,
83,2020-05-05T00:00:00,271.7,271.7,261.1,263.1,4865805,
84,2020-05-06T00:00:00,261.1,273.5,261.1,270.15,10547736,
85,2020-05-07T00:00:00,271.2,284.5,268.45,282.4,6500956,
86,2020-05-08T00:00:00,285.1,286.85,280.55,285.05,2592702,
