,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,481.0,481.0,474.45,475.9,1316661,
1,2020-01-02T00:00:00,478.85,479.9,472.3,473.5,1406274,
2,2020-01-03T00:00:00,475.8,475.8,467.25,469.95,2252570,
3,2020-01-06T00:00:00,469.8,469.95,461.2,466.75,1501460,
4,2020-01-07T00:00:00,466.0,470.0,463.65,468.6,2365335,
5,2020-01-08T00:00:00,467.8,470.1,461.6,464.75,1507276,
6,2020-01-09T00:00:00,467.5,473.3,467.5,470.1,1700339,
7,2020-01-10T00:00:00,470.1,477.0,469.75,473.5,1213505,
8,2020-01-13T00:00:00,474.5,482.45,474.5,477.65,1229844,
9,2020-01-14T00:00:00,480.6,485.2,479.2,484.25,2162495,
10,2020-01-15T00:00:00,484.0,486.85,479.55,484.0,1412772,
11,2020-01-16T00:00:00,484.0,487.45,479.0,480.25,1694009,
12,2020-01-17T00:00:00,480.0,482.95,476.55,480.3,2039159,
13,2020-01-20T00:00:00,480.45,483.15,476.65,480.15,1206814,
14,2020-01-21T00:00:00,478.95,479.55,472.2,473.4,1448278,
15,2020-01-22T00:00:00,474.5,480.3,470.25,471.6,2380319,
16,2020-01-23T00:00:00,464.5,475.85,459.35,465.15,5783394,
17,2020-01-24T00:00:00,465.0,467.75,456.85,458.85,2712884,
18,2020-01-27T00:00:00,457.5,466.5,454.2,464.45,5847693,
19,2020-01-28T00:00:00,465.0,468.0,458.95,464.7,3592413,
20,2020-01-29T00:00:00,464.7,467.4,460.35,461.55,1736951,
21,2020-01-30T00:00:00,461.0,461.0,446.35,451.0,2765477,
22,2020-01-31T00:00:00,453.95,453.95,442.1,446.9,2183812,
23,2020-02-01T00:00:00,446.5,452.2,437.75,444.2,1632515,
24,2020-02-03T00:00:00,444.0,450.65,439.4,444.55,1690397,
25,2020-02-04T00:00:00,446.7,452.45,444.2,448.45,2028682,
26,2020-02-05T00:00:00,449.55,459.15,437.5,447.55,3636513,
27,2020-02-06T00:00:00,462.5,464.35,435.35,439.65,7117906,
28,2020-02-07T00:00:00,440.0,445.9,437.3,443.2,6385372,
29,2020-02-10T00:00:00,444.2,451.0,442.1,444.75,3556712,
30,2020-02-11T00:00:00,447.1,452.0,443.35,450.6,1889096,
31,2020-02-12T00:00:00,454.95,454.95,445.0,446.8,1683090,
32,2020-02-13T00:00:00,446.8,448.9,440.5,443.4,2040932,
33,2020-02-14T00:00:00,444.0,448.9,441.5,447.1,1814660,
34,2020-02-17T00:00:00,444.5,445.75,430.1,431.9,4580887,
35,2020-02-18T00:00:00,433.0,437.65,428.1,436.0,2453752,
36,2020-02-19T00:00:00,437.8,449.2,437.4,447.5,2359013,
37,2020-02-20T00:00:00,448.0,448.8,434.5,435.75,3047423,
38,2020-02-24T00:00:00,436.0,436.7,426.55,430.15,2569319,
39,2020-02-25T00:00:00,430.2,431.2,420.0,425.8,2437399,
40,2020-02-26T00:00:00,406.0,425.0,405.8,422.2,8065388,
41,2020-02-27T00:00:00,411.1,424.0,409.0,421.2,5105497,
42,2020-02-28T00:00:00,413.0,416.45,398.05,402.1,4200545,
43,2020-03-02T00:00:00,407.0,411.25,394.65,401.95,3459254,
44,2020-03-03T00:00:00,402.0,429.2,402.0,425.3,5476679,
45,2020-03-04T00:00:00,425.6,449.8,420.0,447.65,9295558,
46,2020-03-05T00:00:00,447.85,472.0,437.45,440.6,9636774,
47,2020-03-06T00:00:00,425.0,438.15,423.05,434.4,2916050,
48,2020-03-09T00:00:00,425.0,432.65,423.5,426.15,2986248,
49,2020-03-11T00:00:00,425.0,426.15,410.2,417.1,5314549,
50,2020-03-12T00:00:00,412.5,412.5,390.75,394.75,5604245,
