,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,211.35,212.6,208.4,211.95,6446714,
1,2020-01-02T00:00:00,212.5,212.8,208.3,211.1,5955154,
2,2020-01-03T00:00:00,210.0,212.6,207.7,211.85,6452230,
3,2020-01-06T00:00:00,209.95,209.95,203.45,205.7,6852940,
4,2020-01-07T00:00:00,206.5,208.2,204.35,205.7,5240907,
5,2020-01-08T00:00:00,203.0,204.55,198.2,200.2,7293203,
6,2020-01-09T00:00:00,203.25,203.7,197.35,198.0,10318156,
7,2020-01-10T00:00:00,199.15,206.55,198.95,205.3,13531982,
8,2020-01-13T00:00:00,205.3,212.0,205.0,211.55,9861482,
9,2020-01-14T00:00:00,211.15,213.5,209.75,212.95,5413626,
10,2020-01-15T00:00:00,212.6,214.6,211.3,212.45,4860549,
11,2020-01-16T00:00:00,212.45,212.7,207.1,210.25,6937674,
12,2020-01-17T00:00:00,210.0,210.55,206.1,207.9,5984935,
13,2020-01-20T00:00:00,208.0,209.8,200.5,201.15,8110377,
14,2020-01-21T00:00:00,201.15,205.25,201.15,202.15,6345985,
15,2020-01-22T00:00:00,199.1,199.4,190.95,191.9,19077137,
16,2020-01-23T00:00:00,192.05,195.2,189.85,190.75,16365467,
17,2020-01-24T00:00:00,193.0,196.3,192.15,193.95,10623554,
18,2020-01-27T00:00:00,193.95,195.0,192.0,193.35,7192618,
19,2020-01-28T00:00:00,193.9,193.9,188.4,189.15,10290186,
20,2020-01-29T00:00:00,191.0,193.0,188.0,191.05,10591825,
21,2020-01-30T00:00:00,191.4,192.35,187.5,187.95,10856535,
22,2020-01-31T00:00:00,188.8,189.45,180.0,181.7,35278191,
23,2020-02-01T00:00:00,182.0,182.0,171.05,173.5,23301340,
24,2020-02-03T00:00:00,174.9,179.45,172.15,178.65,15280098,
25,2020-02-04T00:00:00,180.75,183.0,179.75,182.5,10038608,
26,2020-02-05T00:00:00,184.0,184.0,178.5,179.25,9466983,
27,2020-02-06T00:00:00,180.2,181.6,178.25,179.95,6916565,
28,2020-02-07T00:00:00,180.3,186.05,178.1,185.05,13461539,
29,2020-02-10T00:00:00,184.9,185.0,177.65,178.85,19660156,
30,2020-02-11T00:00:00,180.0,181.5,176.25,179.35,16391581,
31,2020-02-12T00:00:00,181.0,183.4,178.2,180.3,14667233,
32,2020-02-13T00:00:00,180.3,180.95,175.85,177.8,11779827,
33,2020-02-14T00:00:00,178.0,178.9,174.2,174.75,15388376,
34,2020-02-17T00:00:00,174.75,175.2,166.8,167.85,15990683,
35,2020-02-18T00:00:00,168.1,173.95,165.0,171.85,27643011,
36,2020-02-19T00:00:00,176.35,178.55,174.25,177.75,21081499,
37,2020-02-20T00:00:00,177.75,180.25,175.2,179.35,16773545,
38,2020-02-24T00:00:00,178.75,178.9,173.3,174.85,9951234,
39,2020-02-25T00:00:00,176.1,178.7,174.2,175.1,13526204,
40,2020-02-26T00:00:00,174.2,177.75,172.65,173.8,10924798,
41,2020-02-27T00:00:00,173.75,174.55,169.6,174.1,11496003,
42,2020-02-28T00:00:00,171.55,171.8,166.75,168.4,14694378,
43,2020-03-02T00:00:00,172.65,175.0,168.3,169.35,11962714,
44,2020-03-03T00:00:00,171.35,179.65,170.9,178.2,17015819,
45,2020-03-04T00:00:00,178.25,179.8,174.1,178.1,9855686,
46,2020-03-05T00:00:00,180.0,180.05,172.2,177.15,12372220,
47,2020-03-06T00:00:00,166.7,173.0,166.5,168.75,10621935,
48,2020-03-09T00:00:00,165.8,166.7,156.95,157.95,23964290,
49,2020-03-11T00:00:00,158.1,169.9,157.05,168.0,28399812,
50,2020-03-12T00:00:00,161.0,163.0,150.1,154.55,33074755,
51,2020-03-13T00:00:00,146.25,161.55,123.65,154.1,43326014,
52,2020-03-16T00:00:00,150.95,151.35,143.1,143.9,23529606,
53,2020-03-17T00:00:00,145.2,155.4,142.3,145.9,18983704,
54,2020-03-18T00:00:00,151.6,151.85,143.0,145.05,17019501,
