,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,569.4,572.9,566.85,571.95,917883,
1,2020-01-02T00:00:00,572.55,575.0,570.5,573.55,1076306,
2,2020-01-03T00:00:00,574.0,588.5,572.85,585.05,3269391,
3,2020-01-06T00:00:00,585.0,592.2,579.45,582.0,3589886,
4,2020-01-07T00:00:00,582.0,587.75,579.05,584.25,3179601,
5,2020-01-08T00:00:00,583.0,593.0,578.0,585.75,3592936,
6,2020-01-09T00:00:00,586.0,588.15,579.25,580.3,2313523,
7,2020-01-10T00:00:00,582.0,589.8,577.4,580.35,2049545,
8,2020-01-13T00:00:00,583.95,590.0,581.0,586.5,4095412,
9,2020-01-14T00:00:00,587.2,597.4,587.15,594.3,3392774,
10,2020-01-15T00:00:00,597.0,598.3,591.7,595.75,2347744,
11,2020-01-16T00:00:00,597.0,598.3,586.75,593.25,2107438,
12,2020-01-17T00:00:00,585.0,602.0,585.0,598.8,4552125,
13,2020-01-20T00:00:00,618.0,618.0,584.1,589.25,10270044,
14,2020-01-21T00:00:00,589.3,593.25,582.35,584.05,2640070,
15,2020-01-22T00:00:00,585.2,595.0,581.5,590.65,4406186,
16,2020-01-23T00:00:00,590.1,599.95,587.0,598.95,6089352,
17,2020-01-24T00:00:00,599.0,609.0,595.5,607.7,3550757,
18,2020-01-27T00:00:00,607.7,608.0,601.75,604.35,2449748,
19,2020-01-28T00:00:00,607.3,607.35,592.6,601.45,5330561,
20,2020-01-29T00:00:00,605.0,611.5,602.2,608.85,4281008,
21,2020-01-30T00:00:00,612.0,613.85,603.65,607.85,3334730,
22,2020-01-31T00:00:00,607.85,608.9,589.6,591.4,3590552,
23,2020-02-01T00:00:00,591.4,597.7,580.75,590.9,941427,
24,2020-02-03T00:00:00,591.4,593.65,577.5,579.1,4023944,
25,2020-02-04T00:00:00,583.0,589.25,582.5,586.5,3246052,
26,2020-02-05T00:00:00,589.4,598.5,586.0,595.6,3006021,
27,2020-02-06T00:00:00,598.95,613.0,598.0,599.7,4704824,
28,2020-02-07T00:00:00,601.65,609.2,599.15,607.7,2864735,
29,2020-02-10T00:00:00,608.9,611.55,601.65,604.9,2286176,
30,2020-02-11T00:00:00,606.0,613.75,605.7,610.65,2458642,
31,2020-02-12T00:00:00,613.0,620.5,610.3,614.1,4872287,
32,2020-02-13T00:00:00,612.0,613.95,604.05,612.45,2090250,
33,2020-02-14T00:00:00,612.45,623.25,612.25,621.65,3649307,
34,2020-02-17T00:00:00,623.0,623.5,612.35,613.45,2189906,
35,2020-02-18T00:00:00,613.45,615.8,605.15,607.05,5236408,
36,2020-02-19T00:00:00,614.45,618.25,604.0,605.75,3799743,
37,2020-02-20T00:00:00,611.0,612.95,605.15,608.05,4820257,
38,2020-02-24T00:00:00,608.0,609.0,591.5,595.15,4069298,
39,2020-02-25T00:00:00,595.5,595.7,575.0,582.45,5523738,
40,2020-02-26T00:00:00,576.9,589.05,575.5,583.6,5457252,
41,2020-02-27T00:00:00,582.1,582.1,568.0,573.05,4082957,
42,2020-02-28T00:00:00,560.0,564.0,531.2,534.35,7893969,
43,2020-03-02T00:00:00,541.05,565.85,537.85,549.7,8174935,
44,2020-03-03T00:00:00,556.0,568.75,555.0,565.05,4682287,
45,2020-03-04T00:00:00,569.0,575.4,561.0,563.1,5174823,
46,2020-03-05T00:00:00,568.0,581.9,563.15,576.4,6062672,
47,2020-03-06T00:00:00,570.0,573.95,559.55,566.2,3290962,
48,2020-03-09T00:00:00,555.0,558.0,536.45,540.45,3699594,
49,2020-03-11T00:00:00,526.75,542.65,514.0,536.8,4848637,
50,2020-03-12T00:00:00,521.0,527.8,486.35,493.35,5271447,
51,2020-03-13T00:00:00,460.0,517.25,395.95,492.9,6859665,
52,2020-03-16T00:00:00,469.0,479.8,446.85,450.7,5280880,
53,2020-03-17T00:00:00,450.0,478.6,443.35,450.65,5148122,
54,2020-03-18T00:00:00,455.0,464.8,429.05,434.25,4842707,
55,2020-03-19T00:00:00,418.9,434.6,375.25,413.45,9261584,
56,2020-03-20T00:00:00,413.5,461.95,411.85,444.9,11915251,
57,2020-03-23T00:00:00,415.0,444.0,400.45,417.15,9525672,
58,2020-03-24T00:00:00,413.0,458.85,411.85,442.05,9921119,
59,2020-03-25T00:00:00,432.0,468.0,417.75,457.6,11975513,
60,2020-03-26T00:00:00,461.1,466.75,441.1,447.7,9501301,
61,2020-03-27T00:00:00,450.25,457.45,420.5,430.65,9151134,
62,2020-03-30T00:00:00,410.0,438.65,410.0,419.0,6325238,
63,2020-03-31T00:00:00,433.2,449.4,425.3,436.4,6390805,
64,2020-04-01T00:00:00,433.0,433.2,408.2,413.55,8136507,
65,2020-04-03T00:00:00,418.9,428.6,399.3,405.8,8165874,
66,2020-04-07T00:00:00,425.0,457.95,425.0,451.15,5972235,
67,2020-04-08T00:00:00,451.0,476.8,449.0,463.1,7991032,
68,2020-04-09T00:00:00,480.7,481.0,462.0,469.05,5069078,
69,2020-04-13T00:00:00,470.0,471.0,454.0,458.25,2236367,
70,2020-04-15T00:00:00,470.0,482.0,462.7,478.75,6332198,
71,2020-04-16T00:00:00,473.0,476.0,456.7,459.75,10484707,
72,2020-04-17T00:00:00,470.0,475.0,453.65,455.25,4706462,
73,2020-04-20T00:00:00,458.0,473.6,453.5,470.0,4798994,
74,2020-04-21T00:00:00,458.0,464.95,447.85,455.7,3404312,
75,2020-04-22T00:00:00,453.0,469.45,450.0,462.4,3767679,
76,2020-04-23T00:00:00,465.0,480.75,462.4,477.7,3054990,
77,2020-04-24T00:00:00,480.0,496.9,465.15,468.1,6738443,
78,2020-04-27T00:00:00,473.1,485.7,467.25,483.1,2914524,
79,2020-04-28T00:00:00,489.0,489.0,469.45,471.1,4259501,
80,2020-04-29T00:00:00,474.8,501.0,470.2,491.75,3847462,
81,2020-04-30T00:00:00,506.5,565.5,501.0,543.55,8034675,
82,2020-05-04T00:00:00,527.5,527.5,508.2,514.25,7031564,
83,2020-05-05T00:00:00,526.0,529.9,515.65,520.4,4592220,
84,2020-05-06T00:00:00,512.2,526.7,506.2,519.1,6920487,
85,2020-05-07T00:00:00,530.0,541.8,507.55,511.75,19994858,
86,2020-05-08T00:00:00,520.85,522.5,502.4,518.4,10119257,
87,2020-05-11T00:00:00,526.0,534.9,521.2,527.55,4425310,
88,2020-05-12T00:00:00,525.45,540.0,520.0,527.4,6438842,
89,2020-05-13T00:00:00,539.85,539.85,521.55,528.75,3500524,
90,2020-05-14T00:00:00,519.4,527.55,514.35,517.45,3741269,
91,2020-05-15T00:00:00,517.95,517.95,505.25,511.25,4895068,
92,2020-05-18T00:00:00,514.7,518.65,507.5,510.75,5158637,
93,2020-05-19T00:00:00,512.0,520.5,506.2,518.25,3966828,
94,2020-05-20T00:00:00,515.05,528.65,515.0,526.75,3138546,
95,2020-05-21T00:00:00,529.8,537.5,523.4,534.85,4523123,
96,2020-05-22T00:00:00,533.65,535.0,523.0,530.4,6409937,
97,2020-05-26T00:00:00,530.0,536.5,520.25,524.0,4053318,
98,2020-05-27T00:00:00,529.7,533.9,516.0,530.95,4825337,
99,2020-05-28T00:00:00,531.0,546.0,523.0,542.65,4491178,
100,2020-05-29T00:00:00,540.0,555.0,536.7,550.25,7853529,
101,2020-06-01T00:00:00,557.0,573.4,555.5,559.75,4501476,
102,2020-06-02T00:00:00,559.3,567.75,550.0,560.2,2931139,
103,2020-06-03T00:00:00,564.0,568.4,557.0,562.8,4200822,
104,2020-06-04T00:00:00,565.0,583.7,559.0,578.95,5314150,
105,2020-06-05T00:00:00,585.0,587.15,572.5,575.95,3995759,
106,2020-06-08T00:00:00,579.15,583.5,571.05,578.25,3770490,
107,2020-06-09T00:00:00,574.15,583.6,570.0,572.85,3811471,
108,2020-06-10T00:00:00,575.0,587.5,573.6,578.7,6489622,
109,2020-06-11T00:00:00,580.0,584.9,574.1,578.05,4975605,
110,2020-06-12T00:00:00,555.2,578.7,555.2,570.75,6623845,
111,2020-06-15T00:00:00,574.8,581.0,563.7,578.95,3786683,
112,2020-06-16T00:00:00,585.0,593.5,578.4,580.9,4727455,
113,2020-06-17T00:00:00,580.0,581.85,573.0,575.85,3570174,
114,2020-06-18T00:00:00,571.2,583.8,570.1,578.95,1917854,
115,2020-06-19T00:00:00,574.0,578.0,567.2,569.6,6185941,
116,2020-06-22T00:00:00,575.0,576.65,565.4,569.6,2665770,
117,2020-06-23T00:00:00,569.7,583.5,563.75,580.25,4527617,
118,2020-06-24T00:00:00,575.0,579.8,554.4,559.6,5336605,
119,2020-06-25T00:00:00,557.6,560.7,548.0,550.05,6352658,
120,2020-06-26T00:00:00,550.05,573.9,545.0,562.4,7019116,
121,2020-06-29T00:00:00,562.0,565.9,550.3,553.7,3856496,
122,2020-06-29T00:00:00,562.0,565.9,550.3,553.7,3856496,
123,2020-06-30T00:00:00,558.0,560.8,553.25,556.85,3109951,
124,2020-07-01T00:00:00,557.95,559.6,551.0,551.75,3003352,
125,2020-07-02T00:00:00,555.0,572.4,552.9,569.2,5243445,
126,2020-07-03T00:00:00,572.0,580.55,570.6,579.15,3701378,
127,2020-07-06T00:00:00,579.15,589.0,577.25,578.7,3276156,
