,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,623.0,626.0,616.35,621.45,1745602,
1,2020-01-02T00:00:00,622.7,638.8,618.4,634.25,1972585,
2,2020-01-03T00:00:00,631.0,637.45,626.4,630.7,2399861,
3,2020-01-06T00:00:00,627.4,627.4,611.5,619.55,4173159,
4,2020-01-07T00:00:00,623.6,643.7,623.6,629.95,2824643,
5,2020-01-08T00:00:00,622.0,631.8,618.5,628.85,2246934,
6,2020-01-09T00:00:00,635.0,636.5,627.8,631.5,1337247,
7,2020-01-10T00:00:00,632.4,634.0,618.75,623.1,2179039,
8,2020-01-13T00:00:00,627.9,633.05,623.6,625.4,1158416,
9,2020-01-14T00:00:00,626.5,627.0,612.75,614.25,2103361,
10,2020-01-15T00:00:00,614.0,620.5,612.75,616.55,1619127,
11,2020-01-16T00:00:00,624.0,625.0,605.8,607.5,3196225,
12,2020-01-17T00:00:00,607.5,611.55,601.7,607.65,2312721,
13,2020-01-20T00:00:00,611.0,612.45,597.1,598.25,1868205,
14,2020-01-21T00:00:00,595.7,609.7,594.15,602.0,1595355,
15,2020-01-22T00:00:00,604.9,616.5,602.65,612.75,2066187,
16,2020-01-23T00:00:00,614.3,621.9,611.5,616.0,1675687,
17,2020-01-24T00:00:00,607.9,611.25,602.8,607.25,2186729,
18,2020-01-27T00:00:00,604.8,605.7,598.1,599.7,1529954,
19,2020-01-28T00:00:00,601.0,611.9,599.0,603.75,1648545,
20,2020-01-29T00:00:00,605.95,611.0,602.25,605.05,1321433,
21,2020-01-30T00:00:00,605.9,608.55,597.15,600.45,1058841,
22,2020-01-31T00:00:00,603.1,604.45,597.3,599.2,1258639,
23,2020-02-01T00:00:00,598.2,609.0,537.9,562.4,7823814,
24,2020-02-03T00:00:00,553.0,573.0,527.5,565.3,9681988,
25,2020-02-04T00:00:00,568.0,578.45,555.55,573.1,3109643,
26,2020-02-05T00:00:00,574.4,586.35,565.0,583.45,2737958,
27,2020-02-06T00:00:00,587.0,598.7,587.0,593.65,2295778,
28,2020-02-07T00:00:00,593.5,600.0,589.0,595.7,1185347,
29,2020-02-10T00:00:00,596.0,598.9,584.5,588.05,1366366,
30,2020-02-11T00:00:00,589.75,594.5,575.8,583.5,1544580,
31,2020-02-12T00:00:00,585.6,594.7,563.6,578.35,3301087,
32,2020-02-13T00:00:00,576.5,582.25,568.5,577.2,2107212,
33,2020-02-14T00:00:00,578.9,581.5,572.0,573.95,2330738,
34,2020-02-17T00:00:00,574.9,575.0,564.05,565.9,916553,
35,2020-02-18T00:00:00,564.8,565.35,556.0,562.6,1230166,
36,2020-02-19T00:00:00,565.9,581.85,563.0,579.1,1749356,
37,2020-02-20T00:00:00,582.1,583.7,572.1,573.5,3704949,
38,2020-02-24T00:00:00,572.25,578.4,556.0,560.8,1558388,
39,2020-02-25T00:00:00,570.0,582.5,566.0,569.5,3580065,
40,2020-02-26T00:00:00,565.3,571.45,555.0,557.05,2300422,
41,2020-02-27T00:00:00,559.0,569.3,544.25,566.7,2984504,
42,2020-02-28T00:00:00,554.0,565.0,541.25,544.1,4374557,
43,2020-03-02T00:00:00,555.0,564.25,550.95,554.5,2291430,
44,2020-03-03T00:00:00,560.0,573.0,559.65,563.5,2844294,
45,2020-03-04T00:00:00,567.4,570.0,560.15,568.6,1735664,
46,2020-03-05T00:00:00,572.0,572.8,556.4,564.95,3820964,
47,2020-03-06T00:00:00,541.0,556.5,535.0,548.15,3492561,
48,2020-03-09T00:00:00,538.0,540.3,506.2,517.65,4576560,
49,2020-03-11T00:00:00,515.0,526.0,508.05,513.55,2971156,
50,2020-03-12T00:00:00,495.0,498.0,453.3,472.9,4781349,
51,2020-03-13T00:00:00,435.0,525.0,429.1,507.15,7973529,
52,2020-03-16T00:00:00,494.0,500.4,471.0,474.2,4055677,
53,2020-03-17T00:00:00,475.0,486.0,460.0,464.95,3289232,
54,2020-03-18T00:00:00,465.0,470.0,410.85,419.45,4681684,
55,2020-03-19T00:00:00,385.35,432.55,385.35,416.95,8355511,
56,2020-03-20T00:00:00,425.1,442.0,411.3,418.1,4856786,
57,2020-03-23T00:00:00,377.5,394.4,340.0,342.3,4439248,
58,2020-03-24T00:00:00,362.0,409.0,345.85,391.3,5254951,
59,2020-03-25T00:00:00,390.0,440.0,385.6,434.3,6169377,
60,2020-03-26T00:00:00,448.0,487.0,434.0,477.45,6461535,
61,2020-03-27T00:00:00,450.2,483.8,440.0,441.0,14440301,
62,2020-03-30T00:00:00,432.0,443.9,407.0,412.5,7104155,
63,2020-03-31T00:00:00,429.0,448.2,414.4,441.35,5412654,
64,2020-04-01T00:00:00,438.1,447.4,424.05,429.9,7411719,
65,2020-04-03T00:00:00,428.5,442.0,416.2,422.3,6993931,
66,2020-04-07T00:00:00,436.9,476.0,433.25,470.5,6385345,
67,2020-04-08T00:00:00,464.95,500.55,457.4,476.6,7174781,
68,2020-04-09T00:00:00,488.9,494.4,464.15,472.25,3628495,
69,2020-04-13T00:00:00,473.0,482.75,453.3,477.8,4143105,
70,2020-04-15T00:00:00,481.7,488.7,468.5,471.7,3944888,
71,2020-04-16T00:00:00,470.0,494.4,462.0,489.7,5065367,
72,2020-04-17T00:00:00,505.0,518.95,491.5,495.5,6527061,
73,2020-04-20T00:00:00,503.7,515.3,496.0,508.3,4164307,
74,2020-04-21T00:00:00,496.0,502.85,488.9,496.35,2901466,
75,2020-04-22T00:00:00,499.5,509.0,490.35,503.65,2103332,
