,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,216.15,217.45,213.2,214.3,5084070,
1,2020-01-02T00:00:00,216.0,221.2,216.0,220.15,15232091,
2,2020-01-03T00:00:00,219.3,219.95,216.05,216.45,8656490,
3,2020-01-06T00:00:00,215.0,215.65,208.05,209.3,7798595,
4,2020-01-07T00:00:00,210.55,213.2,207.7,208.85,12767185,
5,2020-01-08T00:00:00,206.0,208.65,204.5,207.4,12469485,
6,2020-01-09T00:00:00,211.5,211.95,208.9,210.75,8675360,
7,2020-01-10T00:00:00,212.3,214.2,210.2,211.5,7798600,
8,2020-01-13T00:00:00,212.8,213.0,209.5,211.2,6611257,
9,2020-01-14T00:00:00,212.5,214.75,210.8,211.95,7980618,
10,2020-01-15T00:00:00,211.1,215.0,210.0,213.65,9622891,
11,2020-01-16T00:00:00,214.0,214.75,209.0,209.65,6980144,
12,2020-01-17T00:00:00,209.5,212.0,208.15,210.05,8676949,
13,2020-01-20T00:00:00,210.1,210.8,206.75,207.3,3974570,
14,2020-01-21T00:00:00,206.0,208.5,204.65,205.15,4474890,
15,2020-01-22T00:00:00,205.6,207.8,203.0,203.6,6268211,
16,2020-01-23T00:00:00,203.6,205.35,202.75,204.6,5559119,
17,2020-01-24T00:00:00,204.5,207.7,202.25,205.4,5776031,
18,2020-01-27T00:00:00,203.55,203.55,197.4,198.25,7940090,
19,2020-01-28T00:00:00,199.4,199.4,194.2,196.0,6307203,
20,2020-01-29T00:00:00,197.65,200.4,197.1,197.75,8977792,
21,2020-01-30T00:00:00,197.3,197.7,192.7,193.45,8591093,
22,2020-01-31T00:00:00,194.8,194.95,188.25,189.35,6011734,
23,2020-02-01T00:00:00,187.65,189.85,182.8,184.4,3885640,
24,2020-02-03T00:00:00,183.9,185.6,180.3,181.8,7677696,
25,2020-02-04T00:00:00,183.0,190.35,183.0,189.25,9233810,
26,2020-02-05T00:00:00,190.1,197.55,188.3,196.3,7408493,
27,2020-02-06T00:00:00,196.4,197.35,192.65,194.0,7348688,
28,2020-02-07T00:00:00,194.0,198.4,192.85,197.4,6977664,
29,2020-02-10T00:00:00,195.9,196.95,189.6,190.85,5382462,
30,2020-02-11T00:00:00,192.4,196.95,192.0,193.65,7536287,
31,2020-02-12T00:00:00,194.25,196.4,191.2,193.65,10580820,
32,2020-02-13T00:00:00,194.7,197.0,192.4,195.25,6710856,
33,2020-02-14T00:00:00,195.5,197.0,193.45,194.0,3798073,
34,2020-02-17T00:00:00,194.0,194.7,189.75,190.25,3494806,
35,2020-02-18T00:00:00,189.15,189.45,181.75,184.35,8150967,
36,2020-02-19T00:00:00,186.0,188.6,184.4,188.1,4309525,
37,2020-02-20T00:00:00,187.8,191.0,185.4,189.95,6205649,
38,2020-02-24T00:00:00,186.9,186.9,177.9,179.05,14688395,
39,2020-02-25T00:00:00,181.0,181.4,174.05,174.45,10695346,
40,2020-02-26T00:00:00,172.95,173.2,167.75,169.9,16850348,
41,2020-02-27T00:00:00,169.95,170.3,166.15,168.35,7655528,
