,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,539.9,542.5,535.7,536.75,7641883,
1,2020-01-02T00:00:00,536.0,541.9,535.85,540.6,10262869,
2,2020-01-03T00:00:00,538.0,540.8,536.25,538.85,9593666,
3,2020-01-06T00:00:00,537.25,537.25,523.8,525.7,12532867,
4,2020-01-07T00:00:00,531.3,535.6,521.65,522.9,16099702,
5,2020-01-08T00:00:00,516.0,527.35,515.0,525.95,16093024,
6,2020-01-09T00:00:00,530.7,547.4,530.3,546.3,18930718,
7,2020-01-10T00:00:00,544.9,546.5,538.5,540.25,12332057,
8,2020-01-13T00:00:00,539.4,546.05,538.0,538.6,7900366,
9,2020-01-14T00:00:00,536.2,538.95,534.15,537.6,13937823,
10,2020-01-15T00:00:00,535.1,536.95,530.65,535.6,12350395,
11,2020-01-16T00:00:00,533.9,540.0,533.2,537.15,11248190,
12,2020-01-17T00:00:00,534.5,538.0,530.6,532.05,18314828,
13,2020-01-20T00:00:00,533.0,544.0,531.0,534.85,19158437,
14,2020-01-21T00:00:00,532.95,540.25,530.2,531.05,13474903,
15,2020-01-22T00:00:00,531.5,534.95,520.75,522.85,17523361,
16,2020-01-23T00:00:00,521.4,530.25,517.05,527.7,17060085,
17,2020-01-24T00:00:00,529.25,537.4,527.0,533.85,17766474,
18,2020-01-27T00:00:00,538.5,545.0,531.5,537.25,38356450,
19,2020-01-28T00:00:00,538.1,540.6,524.45,528.2,24003923,
20,2020-01-29T00:00:00,531.55,534.8,525.3,526.6,16399435,
21,2020-01-30T00:00:00,527.65,533.95,524.15,532.2,14317696,
22,2020-01-31T00:00:00,530.0,532.75,522.4,525.65,16286306,
23,2020-02-01T00:00:00,524.0,528.0,501.85,504.6,11815600,
24,2020-02-03T00:00:00,504.0,519.15,502.0,515.55,22529564,
25,2020-02-04T00:00:00,520.0,534.65,516.65,530.8,17778457,
26,2020-02-05T00:00:00,529.05,540.4,525.7,539.1,18780137,
27,2020-02-06T00:00:00,540.35,547.0,536.25,541.6,15294463,
28,2020-02-07T00:00:00,540.95,541.75,535.15,536.45,8296584,
29,2020-02-10T00:00:00,538.65,542.25,530.5,533.95,12534952,
30,2020-02-11T00:00:00,537.7,544.8,537.5,539.75,11241921,
31,2020-02-12T00:00:00,545.8,550.7,542.7,549.3,14020977,
32,2020-02-13T00:00:00,549.0,549.0,538.0,541.0,9225010,
33,2020-02-14T00:00:00,541.25,548.65,536.55,545.8,14458652,
34,2020-02-17T00:00:00,543.0,545.35,537.75,541.6,7793219,
35,2020-02-18T00:00:00,541.0,544.4,536.0,541.2,15910763,
36,2020-02-19T00:00:00,543.5,546.5,540.5,544.8,8702001,
37,2020-02-20T00:00:00,545.5,549.35,541.8,547.0,13586205,
38,2020-02-24T00:00:00,539.5,541.85,527.55,529.85,16933304,
39,2020-02-25T00:00:00,532.45,538.8,525.3,530.95,14935116,
40,2020-02-26T00:00:00,526.85,529.35,522.2,523.7,15735661,
41,2020-02-27T00:00:00,522.8,522.95,512.65,515.35,26329795,
42,2020-02-28T00:00:00,501.6,506.85,492.2,497.25,32735404,
43,2020-03-02T00:00:00,508.25,520.55,498.45,506.1,28640529,
44,2020-03-03T00:00:00,509.85,519.5,508.5,514.75,19661947,
45,2020-03-04T00:00:00,517.5,517.5,497.05,508.35,21880964,
46,2020-03-05T00:00:00,509.75,511.15,500.0,504.5,16669414,
47,2020-03-06T00:00:00,485.0,496.8,477.3,486.35,31022057,
48,2020-03-09T00:00:00,475.0,475.0,442.95,457.75,42023040,
