Date,RELIANCE,HDFCBANK,ICICIBANK,INFY,TCS,HINDUNILVR,ITC,BHARTIARTL,SBIN,KOTAKBANK,AXISBANK,BAJFINANCE,BAJAJFINSV,HCLTECH,WIPRO,LTIM,TECHM,LT,ULTRACEMCO,GRASIM,SHREECEM,TATASTEEL,JSWSTEEL,HINDALCO,COALINDIA,ONGC,POWERGRID,NTPC,ADANIENT,ADANIPORTS,ASIANPAINT,TITAN,NESTLEIND,BRITANNIA,MARUTI,M&M,TATAMOTORS,BAJAJ-AUTO,HEROMOTOCO,EICHERMOT,APOLLOHOSP,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,UPL,SBILIFE,HDFCLIFE,SBICARD,INDUSINDBK
2020-01-01,1509.6,1278.6,536.75,736.85,2167.6,1936.55,238.1,453.3,334.45,1674.05,748.7,4231.3,9378.45,571.95,247.7,,762.1,1309.95,4065.0,742.5,20319.9,467.75,268.1,214.3,211.95,127.45,195.5,121.55,207.85,377.65,1793.2,1154.75,14779.05,3039.65,7311.7,536.6,184.45,3150.1,2432.55,22075.8,1426.35,434.3,2879.4,475.9,1818.85,588.25,976.4,621.45,,1484.3
2020-01-02,1535.3,1286.75,540.6,734.7,2157.65,1938.05,239.85,455.2,339.3,1671.55,756.95,4246.05,9505.6,573.55,248.3,,766.05,1345.3,4244.8,766.35,21232.15,484.85,276.45,220.15,211.1,128.05,195.1,121.4,211.2,383.15,1790.65,1155.6,14729.35,3053.4,7329.85,539.85,193.75,3121.0,2429.45,21600.85,1494.65,434.95,2864.9,473.5,1826.85,595.45,969.35,634.25,,1529.0
2020-01-03,1537.15,1268.4,538.85,746.0,2200.65,1927.45,238.5,455.1,333.7,1657.1,742.95,4193.45,9345.85,585.05,251.1,,775.1,1335.05,4219.2,756.65,21122.25,483.7,272.45,216.45,211.85,128.45,193.0,119.35,208.3,382.5,1751.4,1139.7,14593.6,3038.8,7254.25,532.75,191.1,3072.05,2432.35,21189.25,1486.1,444.6,2883.9,469.95,1834.8,590.75,975.1,630.7,,1528.85
2020-01-06,1501.5,1240.95,525.7,738.85,2200.45,1915.45,235.1,449.65,319.0,1652.55,723.25,3996.7,9042.7,582.0,252.15,,770.4,1316.75,4157.1,737.0,20870.0,473.25,264.25,209.3,205.7,126.25,193.1,118.9,199.55,380.2,1707.15,1158.6,14416.65,3022.05,7042.4,524.5,185.65,3037.65,2368.15,20860.45,1462.5,439.95,2878.85,466.75,1838.35,584.95,983.1,619.55,,1469.4
2020-01-07,1524.6,1260.6,522.9,727.9,2205.85,1920.7,235.35,445.1,318.4,1670.85,725.75,4007.65,9095.65,584.25,255.2,,777.1,1320.5,4242.1,742.3,21963.15,476.1,265.25,208.85,205.7,125.75,191.7,120.55,204.05,384.8,1724.4,1159.95,14290.75,3036.6,7073.6,526.65,184.7,3037.95,2348.05,20803.8,1478.7,446.4,2884.2,468.6,1846.85,595.05,984.9,629.95,,1461.65
2020-01-08,1513.15,1257.3,525.95,718.2,2255.25,1929.35,234.2,458.85,319.8,1654.85,724.5,4049.95,9145.5,585.75,254.8,,769.8,1291.55,4318.95,742.65,22441.3,475.25,262.5,207.4,200.2,123.45,190.55,119.95,201.5,385.65,1728.8,1143.3,14391.25,3023.6,7035.2,524.65,182.55,3059.25,2317.55,19892.2,1473.65,440.1,2897.25,464.75,1833.95,600.85,987.75,628.85,,1458.6
2020-01-09,1548.0,1271.4,546.3,727.55,2214.35,1935.05,235.8,460.1,330.2,1665.05,742.85,4124.2,9395.25,580.3,253.65,,773.65,1316.15,4388.0,757.3,22814.55,483.15,278.1,210.75,198.0,123.7,192.95,119.35,208.0,391.8,1772.55,1163.45,14643.45,3001.1,7227.9,541.25,192.0,3085.7,2354.55,20328.9,1479.6,439.85,2920.5,470.1,1843.4,604.55,988.5,631.5,,1507.65
2020-01-10,1547.65,1282.7,540.25,738.15,2213.55,1954.0,238.0,457.0,332.25,1684.7,740.05,4144.85,9372.25,580.35,251.75,,776.25,1324.6,4444.6,756.25,23345.4,486.2,277.9,211.5,205.3,124.15,192.15,120.3,209.1,392.05,1792.55,1154.05,14655.1,2989.75,7330.5,546.6,196.35,3101.2,2363.45,20432.75,1485.9,443.6,2933.0,473.5,1866.3,600.3,989.0,623.1,,1491.25
2020-01-13,1543.7,1286.0,538.6,773.55,2190.35,1994.85,239.25,468.9,330.75,1691.1,737.4,4164.5,9455.25,586.5,254.8,,785.85,1334.7,4468.7,759.6,23829.2,495.75,278.6,211.2,211.55,125.45,194.8,121.75,213.6,390.35,1804.9,1158.95,14658.25,3045.1,7352.7,554.95,196.25,3094.05,2366.75,20280.0,1488.0,444.6,2954.7,477.65,1878.85,591.95,989.85,625.4,,1539.65
2020-01-14,1529.4,1289.5,537.6,775.65,2206.9,2008.8,243.25,469.35,328.0,1676.8,747.9,4193.0,9574.0,594.3,257.2,,796.25,1326.1,4483.3,759.9,23560.0,498.6,280.9,211.95,212.95,125.05,195.25,123.5,214.35,389.2,1819.15,1167.1,14868.6,3105.15,7386.8,562.5,195.85,3101.6,2411.4,20489.7,1493.3,446.0,2947.8,484.25,1873.65,583.55,989.0,614.25,,1481.65
2020-01-15,1523.85,1284.25,535.6,767.55,2226.9,2021.65,242.4,467.85,324.25,1675.6,746.3,4207.25,9589.15,595.75,248.25,,795.15,1323.6,4506.5,766.4,23728.55,502.1,282.5,213.65,212.45,124.65,194.25,123.85,218.0,390.8,1842.25,1184.85,14860.2,3114.2,7482.95,569.75,200.35,3123.55,2476.3,20624.8,1511.95,449.05,2918.65,484.0,1866.25,585.8,998.15,616.55,,1400.5
