,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,128.75,128.85,126.85,127.45,2578566,
1,2020-01-02T00:00:00,127.65,128.65,127.1,128.05,4751207,
2,2020-01-03T00:00:00,131.0,133.4,128.05,128.45,31373617,
3,2020-01-06T00:00:00,129.7,129.8,125.1,126.25,14604621,
4,2020-01-07T00:00:00,125.6,127.7,125.4,125.75,7185301,
5,2020-01-08T00:00:00,125.0,125.45,123.2,123.45,6228071,
6,2020-01-09T00:00:00,124.95,125.1,122.8,123.7,10124949,
7,2020-01-10T00:00:00,124.45,125.2,123.7,124.15,6540009,
8,2020-01-13T00:00:00,124.25,125.7,124.25,125.45,5732528,
9,2020-01-14T00:00:00,125.45,125.65,123.8,125.05,12428647,
10,2020-01-15T00:00:00,125.05,125.5,124.25,124.65,5709056,
11,2020-01-16T00:00:00,125.0,125.2,124.05,124.5,7317727,
12,2020-01-17T00:00:00,124.55,125.55,124.0,125.4,8559323,
13,2020-01-20T00:00:00,126.0,126.75,120.0,122.9,16105252,
14,2020-01-21T00:00:00,123.05,124.5,122.4,122.75,6490121,
15,2020-01-22T00:00:00,122.0,122.0,116.0,116.4,23621541,
16,2020-01-23T00:00:00,117.25,118.95,116.4,117.8,21077581,
17,2020-01-24T00:00:00,118.0,119.8,117.3,118.35,11171234,
18,2020-01-27T00:00:00,118.35,118.5,116.8,117.25,12074677,
19,2020-01-28T00:00:00,117.55,117.7,115.6,116.6,11607256,
20,2020-01-29T00:00:00,117.35,118.15,116.45,117.65,15560825,
21,2020-01-30T00:00:00,117.55,117.55,115.0,115.6,21122427,
22,2020-01-31T00:00:00,115.8,116.0,106.75,108.95,83352120,
23,2020-02-01T00:00:00,109.0,109.55,102.7,104.35,31282511,
24,2020-02-03T00:00:00,104.35,104.95,101.55,103.45,18437795,
25,2020-02-04T00:00:00,104.1,106.9,103.8,106.15,16890785,
26,2020-02-05T00:00:00,106.4,107.4,105.1,106.8,11341433,
27,2020-02-06T00:00:00,106.8,107.8,106.3,107.25,10742285,
28,2020-02-07T00:00:00,107.3,109.75,106.55,109.25,21427725,
29,2020-02-10T00:00:00,109.15,109.15,105.75,106.2,32072962,
30,2020-02-11T00:00:00,107.15,107.65,106.3,106.8,20957060,
31,2020-02-12T00:00:00,107.0,107.8,106.5,106.7,13044616,
32,2020-02-13T00:00:00,107.0,108.2,104.25,105.35,17692122,
33,2020-02-14T00:00:00,105.55,106.3,103.0,103.3,26638413,
34,2020-02-17T00:00:00,101.5,102.9,98.8,99.95,36657085,
35,2020-02-18T00:00:00,99.95,100.25,96.55,99.3,35557188,
36,2020-02-19T00:00:00,100.3,102.2,98.8,101.7,21792663,
37,2020-02-20T00:00:00,102.0,104.1,101.7,102.8,28367705,
38,2020-02-24T00:00:00,102.5,102.5,97.2,98.05,20156036,
39,2020-02-25T00:00:00,98.7,100.25,97.25,97.55,18237167,
40,2020-02-26T00:00:00,97.4,98.5,95.5,95.8,16187064,
41,2020-02-27T00:00:00,95.7,96.2,92.05,93.35,29474144,
42,2020-02-28T00:00:00,90.3,92.7,89.5,91.95,30403516,
43,2020-03-02T00:00:00,94.0,95.0,88.25,89.1,24429738,
