,Date,Open,High,Low,Close,Volume,Extra
0,2020-03-16T00:00:00,661.0,755.0,656.0,681.4,61230659,
1,2020-03-17T00:00:00,691.0,747.95,689.0,730.9,15119250,
2,2020-03-18T00:00:00,752.1,769.0,680.0,689.2,8889327,
3,2020-03-19T00:00:00,660.0,717.0,650.0,692.05,6425699,
4,2020-03-20T00:00:00,706.25,730.0,690.25,724.5,6502328,
5,2020-03-23T00:00:00,659.0,698.0,580.0,582.4,6260571,
6,2020-03-24T00:00:00,620.0,623.95,575.05,613.7,4018465,
7,2020-03-25T00:00:00,601.0,648.9,591.4,624.95,3483792,
8,2020-03-26T00:00:00,634.0,693.8,621.45,650.95,4360517,
9,2020-03-27T00:00:00,675.0,690.0,650.0,655.9,3114660,
10,2020-03-30T00:00:00,640.0,642.7,607.0,615.35,1791096,
11,2020-03-31T00:00:00,635.0,638.0,608.55,618.65,2330243,
12,2020-04-01T00:00:00,624.0,624.0,601.25,608.05,1498686,
13,2020-04-03T00:00:00,613.8,614.7,588.0,590.25,1692807,
14,2020-04-07T00:00:00,605.0,611.0,582.0,586.05,3133258,
15,2020-04-08T00:00:00,584.8,598.4,576.0,579.5,3091080,
16,2020-04-09T00:00:00,585.05,614.25,575.0,595.2,6134574,
17,2020-04-13T00:00:00,580.0,581.5,501.1,505.5,22852221,
18,2020-04-15T00:00:00,510.0,524.45,502.0,504.65,8431594,
19,2020-04-16T00:00:00,505.0,537.2,501.0,532.1,8013570,
20,2020-04-17T00:00:00,546.0,548.8,523.0,530.5,6750067,
21,2020-04-20T00:00:00,534.75,548.9,528.5,540.1,5769265,
22,2020-04-21T00:00:00,528.9,534.9,518.0,525.9,3245812,
23,2020-04-22T00:00:00,527.0,535.7,520.1,532.4,2715432,
24,2020-04-23T00:00:00,539.0,574.0,535.0,560.95,4983409,
25,2020-04-24T00:00:00,557.7,596.45,552.1,557.85,7823883,
26,2020-04-27T00:00:00,563.7,575.0,542.85,552.7,3306437,
27,2020-04-28T00:00:00,556.0,562.45,547.45,550.9,1970587,
28,2020-04-29T00:00:00,555.4,584.0,548.4,577.5,6118597,
29,2020-04-30T00:00:00,591.0,604.9,585.0,599.15,6036527,
30,2020-05-04T00:00:00,566.2,578.0,566.2,568.45,2061788,
31,2020-05-05T00:00:00,577.75,584.3,550.6,553.0,2244629,
32,2020-05-06T00:00:00,557.0,569.0,542.0,565.65,2354518,
33,2020-05-07T00:00:00,563.0,579.0,558.9,574.45,2196736,
34,2020-05-08T00:00:00,585.0,585.4,548.6,561.95,5126565,
35,2020-05-11T00:00:00,552.0,561.0,543.0,548.5,2746771,
36,2020-05-12T00:00:00,542.0,548.35,530.2,543.1,2110566,
37,2020-05-13T00:00:00,570.0,570.55,545.25,548.3,2372894,
38,2020-05-14T00:00:00,543.0,545.75,537.1,538.65,1454662,
39,2020-05-15T00:00:00,542.0,544.0,535.25,539.45,1043844,
40,2020-05-18T00:00:00,540.0,540.0,526.0,528.9,1211711,
41,2020-05-19T00:00:00,535.0,540.0,529.15,537.65,1327558,
42,2020-05-20T00:00:00,537.0,548.0,534.6,536.75,1138152,
43,2020-05-21T00:00:00,539.4,546.8,536.15,542.35,1177561,
44,2020-05-22T00:00:00,541.4,546.3,495.0,509.55,5255533,
45,2020-05-26T00:00:00,515.0,518.0,496.5,498.75,4515065,
46,2020-05-27T00:00:00,501.6,521.1,496.0,517.45,3003907,
47,2020-05-28T00:00:00,520.0,537.75,518.15,532.3,2377874,
48,2020-05-29T00:00:00,528.0,541.65,524.2,538.85,1539567,
49,2020-06-01T00:00:00,544.0,557.4,544.0,547.8,1933949,
50,2020-06-02T00:00:00,554.5,573.0,552.75,570.05,2738879,
51,2020-06-03T00:00:00,578.0,626.0,577.0,611.3,9367599,
52,2020-06-04T00:00:00,615.0,634.7,607.0,612.4,4570796,
53,2020-06-05T00:00:00,618.0,632.0,615.05,626.0,2895769,
54,2020-06-08T00:00:00,634.9,639.5,611.2,614.85,2615031,
55,2020-06-09T00:00:00,618.0,626.75,607.2,611.65,2335087,
56,2020-06-10T00:00:00,612.0,618.0,593.55,598.4,2026423,
57,2020-06-11T00:00:00,595.45,608.7,590.0,591.05,1351299,
58,2020-06-12T00:00:00,552.5,594.5,552.5,590.45,2360345,
59,2020-06-15T00:00:00,585.0,599.0,583.35,592.55,1081267,
60,2020-06-16T00:00:00,602.45,609.5,577.0,585.75,1529857,
61,2020-06-17T00:00:00,580.0,584.9,575.05,579.5,1142665,
62,2020-06-18T00:00:00,578.0,590.45,577.2,587.9,1239462,
63,2020-06-19T00:00:00,592.7,622.7,587.1,616.95,4038646,
64,2020-06-22T00:00:00,622.75,668.75,620.4,657.9,6472438,
65,2020-06-23T00:00:00,664.95,687.0,663.0,679.95,3791125,
66,2020-06-24T00:00:00,684.75,695.5,661.0,664.45,3215924,
67,2020-06-25T00:00:00,650.0,668.0,646.9,654.1,1611828,
68,2020-06-26T00:00:00,657.85,663.5,648.2,652.15,1003890,
69,2020-06-29T00:00:00,645.0,647.9,629.65,636.55,1137221,
70,2020-06-29T00:00:00,645.0,647.9,629.65,636.55,1137221,
71,2020-06-30T00:00:00,640.0,647.95,627.4,630.25,1497361,
72,2020-07-01T00:00:00,634.65,653.75,626.35,649.65,1339612,
73,2020-07-02T00:00:00,654.0,658.5,641.0,654.2,1390085,
74,2020-07-03T00:00:00,661.35,677.05,654.2,674.85,2435783,
75,2020-07-06T00:00:00,678.9,704.9,677.0,698.8,2834771,
76,2020-07-07T00:00:00,705.0,726.0,698.2,703.85,4553457,
77,2020-07-08T00:00:00,710.0,721.0,691.05,695.45,2205555,
78,2020-07-09T00:00:00,702.0,704.85,693.2,698.15,1559552,
79,2020-07-10T00:00:00,693.55,710.0,690.1,703.15,1952451,
80,2020-07-13T00:00:00,706.0,708.45,693.1,698.2,1082100,
81,2020-07-14T00:00:00,692.0,695.45,685.0,691.35,1398782,
82,2020-07-15T00:00:00,695.0,704.9,690.75,692.2,1065644,
83,2020-07-16T00:00:00,696.0,723.3,685.7,719.9,3363266,
84,2020-07-17T00:00:00,722.0,760.0,720.05,755.95,6685549,
85,2020-07-20T00:00:00,756.3,768.8,731.35,751.0,6764720,
86,2020-07-21T00:00:00,785.0,798.45,765.7,777.1,10749650,
87,2020-07-22T00:00:00,778.0,781.85,750.0,754.2,3451919,
88,2020-07-23T00:00:00,753.0,766.0,741.1,744.05,2250967,
89,2020-07-24T00:00:00,740.0,751.0,735.0,740.8,1737846,
90,2020-07-27T00:00:00,745.0,763.45,735.0,750.65,2830816,
91,2020-07-28T00:00:00,754.95,758.1,748.35,752.4,1065914,
92,2020-07-29T00:00:00,754.95,759.9,737.1,745.75,1553960,
93,2020-07-30T00:00:00,746.1,749.5,729.0,735.9,1740034,
94,2020-07-31T00:00:00,734.0,738.4,725.05,726.85,1006132,
95,2020-08-03T00:00:00,726.85,743.15,720.9,730.85,855065,
96,2020-08-04T00:00:00,734.45,760.9,732.25,757.0,1883102,
97,2020-08-05T00:00:00,762.9,769.9,751.0,758.85,1306243,
98,2020-08-06T00:00:00,762.0,764.45,753.0,758.55,867389,
99,2020-08-07T00:00:00,757.5,765.0,753.0,757.95,913461,
100,2020-08-10T00:00:00,758.55,769.0,755.1,761.6,1224825,
101,2020-08-11T00:00:00,765.75,790.9,761.0,780.35,3956865,
102,2020-08-12T00:00:00,779.2,807.7,777.0,791.35,5415592,
103,2020-08-13T00:00:00,795.75,810.0,788.8,792.3,2718198,
104,2020-08-14T00:00:00,794.0,798.75,753.05,779.8,2225761,
105,2020-08-17T00:00:00,781.75,809.0,770.1,803.1,2188284,
106,2020-08-18T00:00:00,804.4,825.0,804.0,821.4,3759765,
107,2020-08-19T00:00:00,826.7,836.7,820.0,824.35,2174688,
