,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,432.95,436.45,431.25,434.3,2321222,
1,2020-01-02T00:00:00,434.0,442.6,432.0,434.95,4553638,
2,2020-01-03T00:00:00,434.65,450.4,433.05,444.6,9456818,
3,2020-01-06T00:00:00,440.9,444.7,435.1,439.95,4794779,
4,2020-01-07T00:00:00,441.4,448.0,437.55,446.4,4503928,
5,2020-01-08T00:00:00,442.95,446.5,439.0,440.1,3881679,
6,2020-01-09T00:00:00,442.7,444.85,439.0,439.85,3934149,
7,2020-01-10T00:00:00,440.1,449.0,440.0,443.6,4332407,
8,2020-01-13T00:00:00,447.0,453.65,442.55,444.6,4818210,
9,2020-01-14T00:00:00,447.0,449.5,444.4,446.0,2708234,
10,2020-01-15T00:00:00,447.6,450.7,443.65,449.05,3052901,
11,2020-01-16T00:00:00,452.25,456.35,447.4,449.05,4418083,
12,2020-01-17T00:00:00,448.2,456.25,446.0,454.6,3213771,
13,2020-01-20T00:00:00,454.2,456.2,446.15,449.45,2824666,
14,2020-01-21T00:00:00,448.0,451.75,446.0,447.4,2572251,
15,2020-01-22T00:00:00,448.4,453.85,445.35,446.3,3412108,
16,2020-01-23T00:00:00,447.2,452.2,445.0,449.85,1875181,
17,2020-01-24T00:00:00,450.0,452.85,446.8,447.8,2149668,
18,2020-01-27T00:00:00,447.0,451.75,442.2,448.4,3529119,
19,2020-01-28T00:00:00,448.25,462.5,448.05,452.9,9484372,
20,2020-01-29T00:00:00,454.85,456.75,449.45,450.1,3103438,
21,2020-01-30T00:00:00,451.5,453.75,440.3,442.1,3480759,
22,2020-01-31T00:00:00,442.6,445.4,432.65,434.3,3756400,
23,2020-02-01T00:00:00,432.95,437.4,419.4,422.8,2218824,
24,2020-02-03T00:00:00,423.8,428.9,414.0,417.55,4031139,
25,2020-02-04T00:00:00,416.95,426.9,412.85,425.65,4872143,
26,2020-02-05T00:00:00,429.5,431.4,421.9,426.25,3825710,
27,2020-02-06T00:00:00,428.2,438.0,424.0,430.65,7739839,
28,2020-02-07T00:00:00,432.0,441.75,423.2,430.8,7400786,
29,2020-02-10T00:00:00,428.55,432.75,418.3,420.3,3635544,
30,2020-02-11T00:00:00,422.0,424.7,416.8,418.55,4681511,
31,2020-02-12T00:00:00,418.8,421.3,414.0,414.6,4440464,
32,2020-02-13T00:00:00,414.6,420.1,412.0,418.95,3921094,
33,2020-02-14T00:00:00,420.0,424.75,416.5,418.55,2860138,
34,2020-02-17T00:00:00,416.2,418.5,407.3,408.4,2624974,
35,2020-02-18T00:00:00,407.0,410.85,399.05,408.65,4187500,
36,2020-02-19T00:00:00,410.4,414.2,400.6,403.55,5908252,
37,2020-02-20T00:00:00,403.85,411.5,403.55,404.95,4000395,
38,2020-02-24T00:00:00,406.5,414.65,395.8,397.85,12665832,
39,2020-02-25T00:00:00,402.4,402.4,385.3,388.9,10048169,
40,2020-02-26T00:00:00,385.1,386.95,372.5,374.7,12139073,
41,2020-02-27T00:00:00,375.0,390.7,369.45,388.5,15160631,
42,2020-02-28T00:00:00,379.65,385.6,371.1,372.9,8436078,
43,2020-03-02T00:00:00,378.0,383.65,363.35,369.5,6915569,
44,2020-03-03T00:00:00,374.0,396.4,373.25,393.55,14474556,
45,2020-03-04T00:00:00,398.0,412.9,387.35,405.45,26365261,
46,2020-03-05T00:00:00,409.95,414.8,401.75,404.9,9872588,
47,2020-03-06T00:00:00,390.05,403.2,390.05,400.9,6500552,
48,2020-03-09T00:00:00,396.05,403.9,385.55,393.35,13151485,
49,2020-03-11T00:00:00,394.4,395.25,380.05,385.95,9127091,
50,2020-03-12T00:00:00,365.5,372.7,346.4,354.8,11639765,
51,2020-03-13T00:00:00,341.0,402.95,325.0,384.2,15802217,
52,2020-03-16T00:00:00,376.0,396.4,362.8,368.55,14478726,
53,2020-03-17T00:00:00,376.0,395.6,364.2,370.15,12901659,
54,2020-03-18T00:00:00,383.4,386.4,355.1,362.75,12270008,
55,2020-03-19T00:00:00,351.7,374.45,347.65,360.4,8722354,
56,2020-03-20T00:00:00,365.2,379.5,362.2,365.25,10631557,
57,2020-03-23T00:00:00,345.0,354.7,315.05,324.5,8018905,
58,2020-03-24T00:00:00,330.0,348.0,330.0,335.15,6407376,
59,2020-03-25T00:00:00,332.0,350.8,329.55,347.65,6158605,
60,2020-03-26T00:00:00,365.0,368.0,336.1,338.3,11667541,
61,2020-03-27T00:00:00,347.0,352.5,333.0,338.25,7745787,
62,2020-03-30T00:00:00,321.65,344.0,312.0,332.7,11646369,
63,2020-03-31T00:00:00,340.1,355.0,328.25,352.3,9950800,
64,2020-04-01T00:00:00,353.0,355.25,338.4,343.55,6700839,
65,2020-04-03T00:00:00,343.95,389.8,340.0,375.95,28545299,
66,2020-04-07T00:00:00,398.0,422.85,388.3,417.35,29667424,
67,2020-04-08T00:00:00,419.0,448.75,413.15,436.7,27810730,
68,2020-04-09T00:00:00,454.4,473.9,443.4,454.45,31863946,
69,2020-04-13T00:00:00,462.95,477.9,443.1,462.35,30505875,
70,2020-04-15T00:00:00,474.9,488.5,444.1,449.2,32498446,
71,2020-04-16T00:00:00,450.0,467.6,449.2,463.7,16929687,
72,2020-04-17T00:00:00,476.95,476.95,448.45,457.1,19774597,
73,2020-04-20T00:00:00,457.35,475.0,450.55,473.4,17899913,
74,2020-04-21T00:00:00,467.85,490.7,464.25,473.15,30017420,
75,2020-04-22T00:00:00,474.95,482.4,469.0,474.35,13334591,
76,2020-04-23T00:00:00,476.95,487.85,474.35,477.45,13748839,
77,2020-04-24T00:00:00,476.95,497.0,473.55,485.55,23382107,
78,2020-04-27T00:00:00,491.0,504.8,487.0,489.9,19311561,
79,2020-04-28T00:00:00,495.0,495.4,470.3,473.95,12849399,
80,2020-04-29T00:00:00,476.0,484.95,473.15,477.65,10179848,
81,2020-04-30T00:00:00,484.0,485.0,458.4,464.45,18466957,
82,2020-05-04T00:00:00,464.45,474.5,458.0,465.45,16092254,
83,2020-05-05T00:00:00,469.8,472.5,454.0,456.3,7849267,
84,2020-05-06T00:00:00,459.6,463.0,448.0,454.4,10829128,
85,2020-05-07T00:00:00,462.0,465.7,450.2,452.2,11216809,
86,2020-05-08T00:00:00,460.0,471.4,454.05,469.0,13691479,
87,2020-05-11T00:00:00,473.7,475.55,461.3,463.85,10287777,
88,2020-05-12T00:00:00,465.0,468.8,455.3,463.9,9506858,
89,2020-05-13T00:00:00,469.0,469.45,450.2,452.35,10007075,
90,2020-05-14T00:00:00,453.0,462.95,448.8,455.95,11763590,
91,2020-05-15T00:00:00,455.95,458.9,445.55,448.6,7860554,
92,2020-05-18T00:00:00,447.0,454.6,434.25,440.7,9066797,
93,2020-05-19T00:00:00,443.8,456.0,438.6,441.7,10123148,
94,2020-05-20T00:00:00,439.9,458.45,437.25,455.75,7965012,
95,2020-05-21T00:00:00,455.5,469.0,453.0,466.45,8972026,
96,2020-05-22T00:00:00,467.0,471.9,458.05,469.4,10189652,
97,2020-05-26T00:00:00,471.0,475.5,457.0,459.15,9795228,
