,Date,Open,High,Low,Close,Volume,Extra
0,2020-01-01T00:00:00,246.5,248.65,246.2,247.7,1413265,
1,2020-01-02T00:00:00,246.6,249.9,246.35,248.3,1443285,
2,2020-01-03T00:00:00,249.5,252.7,247.35,251.1,3381044,
3,2020-01-06T00:00:00,251.0,254.45,250.15,252.15,4565467,
4,2020-01-07T00:00:00,253.25,256.35,250.2,255.2,4402309,
5,2020-01-08T00:00:00,254.0,256.15,252.55,254.8,2792600,
6,2020-01-09T00:00:00,254.25,256.5,252.65,253.65,2493881,
7,2020-01-10T00:00:00,253.95,255.2,251.0,251.75,2054094,
8,2020-01-13T00:00:00,254.0,257.9,252.85,254.8,6961674,
9,2020-01-14T00:00:00,256.85,258.35,254.55,257.2,7331032,
10,2020-01-15T00:00:00,254.0,256.0,246.6,248.25,10137700,
11,2020-01-16T00:00:00,248.0,252.6,247.0,250.45,8811027,
12,2020-01-17T00:00:00,252.0,253.9,249.65,251.1,4139595,
13,2020-01-20T00:00:00,250.8,250.8,247.2,248.0,1908140,
14,2020-01-21T00:00:00,247.9,248.2,246.0,247.1,1507919,
15,2020-01-22T00:00:00,248.6,251.95,245.4,245.85,3397333,
16,2020-01-23T00:00:00,246.45,249.1,245.35,248.7,1695107,
17,2020-01-24T00:00:00,248.65,249.45,246.25,247.6,1710009,
18,2020-01-27T00:00:00,247.9,247.9,244.75,245.35,1651879,
19,2020-01-28T00:00:00,245.9,246.1,241.8,244.05,2136071,
20,2020-01-29T00:00:00,244.6,247.4,243.25,246.75,2003903,
21,2020-01-30T00:00:00,247.6,247.6,240.2,240.7,2143016,
22,2020-01-31T00:00:00,238.0,239.15,235.0,236.8,5553038,
23,2020-02-01T00:00:00,236.5,239.35,234.3,236.8,2103767,
24,2020-02-03T00:00:00,237.7,240.15,235.25,237.4,4235224,
25,2020-02-04T00:00:00,239.0,241.25,237.9,240.25,3164530,
26,2020-02-05T00:00:00,241.6,243.0,237.3,242.25,3875169,
27,2020-02-06T00:00:00,242.75,245.95,241.65,243.65,3056081,
28,2020-02-07T00:00:00,247.0,247.0,242.95,243.95,2759325,
29,2020-02-10T00:00:00,245.4,245.65,239.45,240.9,2257427,
30,2020-02-11T00:00:00,240.55,242.9,239.8,241.25,2730068,
31,2020-02-12T00:00:00,241.7,247.15,241.7,244.45,3417825,
32,2020-02-13T00:00:00,245.8,245.8,242.5,243.75,2414927,
33,2020-02-14T00:00:00,243.8,245.35,242.0,242.9,1809726,
34,2020-02-17T00:00:00,242.9,245.0,241.95,243.8,1017272,
35,2020-02-18T00:00:00,243.75,244.85,241.25,244.05,1252504,
36,2020-02-19T00:00:00,244.5,248.35,244.5,247.6,1784696,
37,2020-02-20T00:00:00,248.0,248.55,245.1,245.7,2125646,
38,2020-02-24T00:00:00,245.0,247.8,242.4,244.2,3521043,
39,2020-02-25T00:00:00,244.15,246.65,242.45,244.1,2529778,
40,2020-02-26T00:00:00,243.05,243.45,238.4,239.9,3993725,
41,2020-02-27T00:00:00,238.95,238.95,230.5,231.6,4861087,
42,2020-02-28T00:00:00,228.5,229.5,219.7,221.45,5635963,
43,2020-03-02T00:00:00,225.8,227.0,218.4,220.8,5766178,
44,2020-03-03T00:00:00,224.0,225.8,220.6,223.7,5181386,
45,2020-03-04T00:00:00,224.9,229.75,222.45,228.85,4517754,
46,2020-03-05T00:00:00,229.05,233.9,228.65,229.7,2970307,
47,2020-03-06T00:00:00,225.0,226.0,222.55,223.55,2933802,
48,2020-03-09T00:00:00,220.2,221.0,213.0,214.4,8730068,
49,2020-03-11T00:00:00,203.7,214.4,203.7,213.1,6133879,
50,2020-03-12T00:00:00,204.0,206.95,197.5,199.1,5367528,
51,2020-03-13T00:00:00,199.0,204.45,169.25,197.4,6521494,
52,2020-03-16T00:00:00,193.95,193.95,178.55,179.75,5597942,
53,2020-03-17T00:00:00,178.55,185.55,170.75,173.1,6086034,
54,2020-03-18T00:00:00,176.7,178.5,168.5,169.95,6257473,
55,2020-03-19T00:00:00,165.0,171.35,159.4,162.35,5983421,
56,2020-03-20T00:00:00,163.1,185.8,162.5,179.2,10160063,
57,2020-03-23T00:00:00,165.0,177.0,165.0,170.15,5360395,
58,2020-03-24T00:00:00,168.5,181.75,168.05,176.35,6024613,
59,2020-03-25T00:00:00,177.4,188.0,170.2,174.65,6727901,
60,2020-03-26T00:00:00,176.95,186.8,172.5,182.6,5123590,
61,2020-03-27T00:00:00,183.15,189.5,181.5,183.5,6767562,
62,2020-03-30T00:00:00,181.1,187.4,179.35,184.15,3667037,
63,2020-03-31T00:00:00,187.0,199.8,185.65,196.7,5306547,
64,2020-04-01T00:00:00,195.7,195.7,187.0,189.5,4937259,
65,2020-04-03T00:00:00,188.0,189.6,177.75,180.0,6574842,
66,2020-04-07T00:00:00,188.25,192.7,183.05,191.9,4784902,
67,2020-04-08T00:00:00,191.5,200.0,188.8,192.9,5138478,
68,2020-04-09T00:00:00,198.4,202.95,195.05,196.7,3462818,
69,2020-04-13T00:00:00,198.0,198.0,182.9,189.2,6191002,
70,2020-04-15T00:00:00,190.05,193.6,185.8,186.55,11321759,
71,2020-04-16T00:00:00,180.0,189.75,180.0,187.85,21690356,
72,2020-04-17T00:00:00,192.5,193.75,185.55,187.0,6607949,
73,2020-04-20T00:00:00,189.0,189.0,180.15,181.1,8095157,
74,2020-04-21T00:00:00,179.0,179.9,173.8,178.05,9042204,
75,2020-04-22T00:00:00,177.0,179.5,175.05,178.55,5308987,
76,2020-04-23T00:00:00,179.4,182.6,177.1,180.9,5555423,
77,2020-04-24T00:00:00,179.95,180.8,177.15,177.75,4641142,
78,2020-04-27T00:00:00,180.0,182.9,175.5,182.05,9141231,
79,2020-04-28T00:00:00,182.1,182.95,178.0,179.7,6664371,
80,2020-04-29T00:00:00,180.1,182.45,179.4,180.65,5026379,
81,2020-04-30T00:00:00,185.0,192.6,183.55,190.95,8876987,
82,2020-05-04T00:00:00,184.5,191.3,183.05,190.05,8569456,
83,2020-05-05T00:00:00,191.45,194.0,182.2,184.2,6931798,
84,2020-05-06T00:00:00,185.7,188.0,181.0,187.05,5438561,
85,2020-05-07T00:00:00,184.0,185.4,181.2,184.1,5700625,
86,2020-05-08T00:00:00,185.2,185.95,182.55,184.0,4140978,
87,2020-05-11T00:00:00,185.0,189.95,184.1,184.7,4393249,
88,2020-05-12T00:00:00,184.2,188.0,182.6,187.05,3514902,
89,2020-05-13T00:00:00,191.5,191.5,185.15,189.7,5279988,
90,2020-05-14T00:00:00,184.75,187.35,183.1,186.0,5239528,
91,2020-05-15T00:00:00,186.0,186.0,182.65,183.8,3421560,
92,2020-05-18T00:00:00,182.05,185.0,179.6,182.2,7226835,
93,2020-05-19T00:00:00,182.25,186.0,178.0,184.4,5743292,
94,2020-05-20T00:00:00,185.0,185.9,182.2,184.95,7707751,
95,2020-05-21T00:00:00,183.4,191.7,183.4,189.1,7124988,
96,2020-05-22T00:00:00,189.05,190.85,186.45,189.0,4588071,
97,2020-05-26T00:00:00,189.0,193.2,185.7,188.8,5910032,
98,2020-05-27T00:00:00,189.6,205.5,187.7,201.25,18078913,
99,2020-05-28T00:00:00,203.5,203.5,196.05,199.35,12344790,
